Domicile,xG,Score,xG.1,Extérieur,Affluence,Arbitre
Liverpool,1.7,4–1,1.0,Norwich City,53333.0,Michael Oliver
West Ham,0.8,0–5,3.1,Manchester City,59870.0,Mike Dean
Crystal Palace,0.7,0–0,1.0,Everton,25151.0,Jonathan Moss
Bournemouth,1.0,1–1,1.0,Sheffield Utd,10714.0,Kevin Friend
Burnley,0.7,3–0,0.8,Southampton,19784.0,Graham Scott
Watford,0.9,0–3,0.7,Brighton,20245.0,Craig Pawson
Tottenham,2.4,3–1,0.6,Aston Villa,60407.0,Chris Kavanagh
Leicester City,0.6,0–0,0.6,Wolves,32015.0,Andre Marriner
Newcastle Utd,0.5,0–1,1.0,Arsenal,47635.0,Martin Atkinson
Manchester Utd,2.3,4–0,0.8,Chelsea,73620.0,Anthony Taylor
Arsenal,0.9,2–1,1.3,Burnley,60214.0,Mike Dean
Brighton,1.6,1–1,0.8,West Ham,30459.0,Anthony Taylor
Norwich City,1.4,3–1,0.7,Newcastle Utd,27059.0,Stuart Attwell
Aston Villa,1.7,1–2,1.3,Bournemouth,40996.0,Martin Atkinson
Everton,1.0,1–0,1.0,Watford,39066.0,Lee Mason
Southampton,1.6,1–2,1.4,Liverpool,31712.0,Andre Marriner
Manchester City,2.9,2–2,0.3,Tottenham,54503.0,Michael Oliver
Sheffield Utd,1.6,1–0,0.2,Crystal Palace,30197.0,David Coote
Chelsea,1.4,1–1,0.8,Leicester City,40629.0,Oliver Langford
Wolves,0.3,1–1,1.3,Manchester Utd,31314.0,Jonathan Moss
Aston Villa,0.9,2–0,1.0,Everton,41922.0,Michael Oliver
Norwich City,1.2,2–3,2.1,Chelsea,27032.0,Martin Atkinson
Brighton,0.9,0–2,1.5,Southampton,30019.0,Kevin Friend
Watford,2.3,1–3,3.4,West Ham,20035.0,Chris Kavanagh
Manchester Utd,2.4,1–2,0.7,Crystal Palace,73454.0,Paul Tierney
Sheffield Utd,0.7,1–2,0.9,Leicester City,30079.0,Andy Madley
Liverpool,2.5,3–1,0.9,Arsenal,53298.0,Anthony Taylor
Bournemouth,1.5,1–3,2.4,Manchester City,10486.0,Andre Marriner
Tottenham,1.2,0–1,0.4,Newcastle Utd,59245.0,Mike Dean
Wolves,1.5,1–1,1.2,Burnley,30522.0,Craig Pawson
Southampton,0.7,1–1,1.6,Manchester Utd,30499.0,Mike Dean
Leicester City,1.9,3–1,0.9,Bournemouth,31613.0,Peter Bankes
Crystal Palace,1.4,1–0,0.3,Aston Villa,25248.0,Kevin Friend
Manchester City,2.1,4–0,0.5,Brighton,54386.0,Jonathan Moss
Chelsea,1.7,2–2,1.1,Sheffield Utd,40560.0,Stuart Attwell
West Ham,1.8,2–0,1.3,Norwich City,59950.0,Paul Tierney
Newcastle Utd,0.9,1–1,1.3,Watford,44157.0,Graham Scott
Burnley,0.4,0–3,1.1,Liverpool,21762.0,Chris Kavanagh
Everton,1.4,3–2,1.3,Wolves,39374.0,Anthony Taylor
Arsenal,2.3,2–2,2.1,Tottenham,60333.0,Martin Atkinson
Liverpool,2.7,3–1,0.4,Newcastle Utd,51430.0,Andre Marriner
Wolves,1.6,2–5,1.9,Chelsea,31534.0,Graham Scott
Tottenham,1.0,4–0,0.7,Crystal Palace,59812.0,Craig Pawson
Brighton,0.9,1–1,0.6,Burnley,29398.0,Michael Oliver
Sheffield Utd,1.9,0–1,1.3,Southampton,30985.0,Lee Mason
Manchester Utd,1.0,1–0,0.4,Leicester City,73689.0,Martin Atkinson
Norwich City,1.5,3–2,2.2,Manchester City,27035.0,Kevin Friend
Bournemouth,1.5,3–1,1.4,Everton,10416.0,Paul Tierney
Watford,2.8,2–2,0.9,Arsenal,21360.0,Anthony Taylor
Aston Villa,1.0,0–0,0.5,West Ham,42010.0,Mike Dean
Southampton,2.2,1–3,1.2,Bournemouth,30168.0,Chris Kavanagh
Leicester City,1.5,2–1,1.2,Tottenham,32129.0,Paul Tierney
Burnley,1.5,2–0,0.6,Norwich City,19712.0,David Coote
Manchester City,5.8,8–0,0.3,Watford,54273.0,Mike Dean
Everton,0.9,0–2,0.2,Sheffield Utd,39354.0,Simon Hooper
Newcastle Utd,1.0,0–0,1.0,Brighton,43316.0,Martin Atkinson
Crystal Palace,0.9,1–1,0.9,Wolves,25122.0,Stuart Attwell
West Ham,0.5,2–0,1.0,Manchester Utd,59936.0,Anthony Taylor
Arsenal,2.4,3–2,1.1,Aston Villa,60331.0,Jonathan Moss
Chelsea,1.2,1–2,0.9,Liverpool,40638.0,Michael Oliver
Sheffield Utd,1.3,0–1,1.9,Liverpool,31774.0,Anthony Taylor
Bournemouth,1.9,2–2,1.5,West Ham,10729.0,Stuart Attwell
Wolves,1.5,2–0,0.9,Watford,30711.0,Paul Tierney
Aston Villa,0.8,2–2,1.5,Burnley,41546.0,Lee Mason
Tottenham,1.0,2–1,1.6,Southampton,59645.0,Graham Scott
Crystal Palace,1.5,2–0,0.5,Norwich City,25477.0,Jonathan Moss
Chelsea,3.2,2–0,0.5,Brighton,40683.0,Chris Kavanagh
Everton,2.5,1–3,3.5,Manchester City,39222.0,Michael Oliver
Leicester City,1.1,5–0,0.2,Newcastle Utd,32168.0,Craig Pawson
Manchester Utd,1.2,1–1,1.9,Arsenal,73201.0,Kevin Friend
Brighton,2.0,3–0,0.6,Tottenham,30610.0,Jonathan Moss
Watford,1.5,0–0,0.5,Sheffield Utd,20811.0,Andre Marriner
Liverpool,2.8,2–1,0.1,Leicester City,53322.0,Chris Kavanagh
Norwich City,3.1,1–5,2.9,Aston Villa,27045.0,Andy Madley
Burnley,0.7,1–0,0.9,Everton,20650.0,Graham Scott
West Ham,1.3,1–2,2.1,Crystal Palace,59912.0,Michael Oliver
Manchester City,1.3,0–2,1.6,Wolves,54435.0,Craig Pawson
Arsenal,0.9,1–0,0.5,Bournemouth,60326.0,Martin Atkinson
Southampton,1.0,1–4,1.9,Chelsea,31473.0,Paul Tierney
Newcastle Utd,0.5,1–0,0.6,Manchester Utd,51198.0,Mike Dean
Everton,2.1,2–0,0.9,West Ham,39263.0,Paul Tierney
Wolves,0.9,1–1,1.6,Southampton,30915.0,Peter Bankes
Chelsea,1.9,1–0,0.3,Newcastle Utd,40513.0,Andre Marriner
Aston Villa,2.7,2–1,1.2,Brighton,41826.0,David Coote
Leicester City,1.4,2–1,1.4,Burnley,32105.0,Jonathan Moss
Bournemouth,0.6,0–0,0.4,Norwich City,10669.0,Lee Mason
Tottenham,1.0,1–1,0.8,Watford,58754.0,Chris Kavanagh
Crystal Palace,0.5,0–2,2.2,Manchester City,25480.0,Anthony Taylor
Manchester Utd,0.7,1–1,1.1,Liverpool,73737.0,Martin Atkinson
Sheffield Utd,1.0,1–0,0.8,Arsenal,30775.0,Mike Dean
Southampton,0.4,0–9,3.7,Leicester City,28762.0,Andre Marriner
Manchester City,2.4,3–0,0.9,Aston Villa,54506.0,Graham Scott
West Ham,2.0,1–1,1.7,Sheffield Utd,59878.0,David Coote
Watford,0.8,0–0,1.1,Bournemouth,20821.0,Mike Dean
Brighton,1.3,3–2,0.7,Everton,30529.0,Andy Madley
Burnley,2.2,2–4,1.0,Chelsea,20975.0,Michael Oliver
Newcastle Utd,0.7,1–1,1.0,Wolves,46019.0,Kevin Friend
Arsenal,1.7,2–2,1.7,Crystal Palace,60345.0,Martin Atkinson
Liverpool,2.5,2–1,1.4,Tottenham,53222.0,Anthony Taylor
Norwich City,1.0,1–3,4.1,Manchester Utd,27108.0,Stuart Attwell
Bournemouth,1.7,1–0,0.7,Manchester Utd,10669.0,Chris Kavanagh
Sheffield Utd,2.1,3–0,0.8,Burnley,31131.0,Simon Hooper
Manchester City,3.1,2–1,0.7,Southampton,53922.0,Lee Mason
Arsenal,1.1,1–1,1.5,Wolves,60383.0,Michael Oliver
Brighton,2.3,2–0,0.4,Norwich City,30539.0,Kevin Friend
Aston Villa,0.7,1–2,2.6,Liverpool,41878.0,Jonathan Moss
West Ham,1.9,2–3,1.5,Newcastle Utd,59907.0,Stuart Attwell
Watford,1.4,1–2,2.6,Chelsea,21011.0,Anthony Taylor
Crystal Palace,0.4,0–2,1.4,Leicester City,25480.0,Paul Tierney
Everton,0.8,1–1,0.5,Tottenham,39001.0,Martin Atkinson
Norwich City,0.8,0–2,0.8,Watford,27074.0,Andre Marriner
Chelsea,2.5,2–0,0.2,Crystal Palace,40525.0,Mike Dean
Southampton,0.9,1–2,1.9,Everton,29754.0,Paul Tierney
Newcastle Utd,3.0,2–1,2.3,Bournemouth,44424.0,Martin Atkinson
Burnley,1.6,3–0,0.4,West Ham,20255.0,Kevin Friend
Tottenham,1.1,1–1,1.0,Sheffield Utd,59781.0,Graham Scott
Leicester City,1.6,2–0,0.8,Arsenal,32209.0,Chris Kavanagh
Manchester Utd,2.2,3–1,0.9,Brighton,73556.0,Jonathan Moss
Wolves,1.9,2–1,0.7,Aston Villa,31607.0,Anthony Taylor
Liverpool,1.0,3–1,1.3,Manchester City,53324.0,Michael Oliver
West Ham,0.7,2–3,1.6,Tottenham,59930.0,Michael Oliver
Brighton,0.8,0–2,3.4,Leicester City,30640.0,Mike Dean
Watford,1.0,0–3,2.3,Burnley,19711.0,Paul Tierney
Crystal Palace,1.0,1–2,1.4,Liverpool,25486.0,Kevin Friend
Arsenal,2.0,2–2,2.8,Southampton,60295.0,Stuart Attwell
Everton,0.8,0–2,1.8,Norwich City,39241.0,Anthony Taylor
Bournemouth,0.5,1–2,1.4,Wolves,10539.0,Simon Hooper
Manchester City,1.1,2–1,1.1,Chelsea,54486.0,Martin Atkinson
Sheffield Utd,1.4,3–3,1.4,Manchester Utd,32024.0,Andre Marriner
Aston Villa,1.8,2–0,0.6,Newcastle Utd,41821.0,Lee Mason
Newcastle Utd,0.3,2–2,2.6,Manchester City,49937.0,Chris Kavanagh
Tottenham,2.8,3–2,1.4,Bournemouth,59626.0,Lee Mason
Burnley,1.5,0–2,0.8,Crystal Palace,19818.0,Peter Bankes
Liverpool,1.9,2–1,1.0,Brighton,53319.0,Martin Atkinson
Chelsea,2.0,0–1,0.8,West Ham,40595.0,Jonathan Moss
Southampton,1.4,2–1,0.7,Watford,26929.0,Michael Oliver
Wolves,1.2,1–1,1.0,Sheffield Utd,31642.0,David Coote
Norwich City,1.3,2–2,2.0,Arsenal,27067.0,Paul Tierney
Leicester City,2.6,2–1,0.9,Everton,32144.0,Graham Scott
Manchester Utd,1.7,2–2,1.4,Aston Villa,73381.0,Craig Pawson
Crystal Palace,0.4,1–0,0.3,Bournemouth,23497.0,Anthony Taylor
Burnley,0.5,1–4,1.8,Manchester City,20101.0,Jonathan Moss
Wolves,1.6,2–0,0.5,West Ham,31217.0,Andre Marriner
Southampton,1.1,2–1,0.8,Norwich City,27019.0,Kevin Friend
Leicester City,3.0,2–0,0.2,Watford,31763.0,Craig Pawson
Chelsea,2.1,2–1,0.7,Aston Villa,40628.0,Chris Kavanagh
Manchester Utd,1.3,2–1,0.5,Tottenham,73252.0,Paul Tierney
Liverpool,2.7,5–2,1.5,Everton,53094.0,Mike Dean
Sheffield Utd,1.3,0–2,0.8,Newcastle Utd,30409.0,Stuart Attwell
Arsenal,1.0,1–2,2.3,Brighton,60164.0,Graham Scott
